AREA,PERIMETER,SONWESTS_,SONWESTS_I,ISO_,SOVID_NEW,ISOC,SUID,NEWSUID,ISOC,SUID,SOILMAPUNI,SOIL1,PROP1,PRID1,SOIL2,PROP2,PRID2,SOIL3,PROP3,PRID3,SOIL4,PROP4,PRID4,SOIL5,PROP5,PRID5,SOIL6,PROP6,PRID6,SOIL7,PROP7,PRID7,SOIL8,PROP8,PRID8,SOIL9,PROP9,PRID9,SOIL10,PROP10,PRID10,longitude,latitude
0.255158,3.682753,53,52,EE,EEns1,,,EEns1,,,WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.324948222171898,58.72673971776321
0.558277,9.821923,54,53,EE,EE0052,EE,52.0,EE52,EE,52.0,LVj4LVj5PLe4GLe4HSs5 [EE52],LVj,30.0,EE0052R1818,LVj,15.0,EE0052R1986,PLe,20.0,EE0052R1819,GLe,20.0,EE0052R1781,HSs,15.0,EE0052RR052,,,,,,,,,,,,,,,,26.944056109577705,58.26616808229233
0.029002,1.311594,55,54,EE,EE0053,EE,53.0,EE53,EE,53.0,CMc3RGc5GLk5HS5 [EE53],CMc,56.0,EE0071R1803,RGc,14.0,EE0009R2048,GLk,15.0,EE0032R1611,HS,15.0,EE0053RR053,,,,,,,,,,,,,,,,,,,24.53523075803493,58.907655705540215
0.039344,1.312453,56,55,EE,EE0055,EE,55.0,EE55,EE,55.0,GLe2CMg5HSs5 [EE55],GLe,70.0,EE0052R1781,CMg,15.0,EE0009R1616,HSs,15.0,EE0055RR055,,,,,,,,,,,,,,,,,,,,,,26.86084009810976,58.82977847007062
0.000149,0.05328,57,56,EE,EE0043,EE,43.0,EE43,EE,43.0,RGc3GLe4HSs4 [EE43],RGc,45.0,EE0009R2048,GLe,35.0,EE0039R2033,HSs,20.0,EE0043RR043,,,,,,,,,,,,,,,,,,,,,,23.39108039701365,58.94324696298319
0.045549,1.272105,58,57,EE,EE0057,EE,57.0,EE57,EE,57.0,HSf1 [EE57],HSf,100.0,EE0057RR057,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.112631264074757,58.839229844585915
0.071951,2.168465,59,58,EE,EE0056,EE,56.0,EE56,EE,56.0,GLe2RGc5HSs5 [EE56],GLe,70.0,EE0056PRN08,RGc,15.0,EE0102R1643,HSs,15.0,EE0056RR056,,,,,,,,,,,,,,,,,,,,,,22.65028422066436,58.82866987890781
0.010588,0.680854,60,59,EE,EE0054,EE,54.0,EE54,EE,54.0,PZh2PZc4 [EE54],PZh,75.0,EE0044PRT14,PZc,25.0,EE0044PRN02,,,,,,,,,,,,,,,,,,,,,,,,,22.187409436344552,58.911165599393435
0.000654,0.110329,61,60,EE,EE0050,EE,50.0,EE50,EE,50.0,RGc3GLk4HSs4 [EE50],RGc,45.0,EE0102R1643,GLk,35.0,EE0061R1900,HSs,20.0,EE0050RR050,,,,,,,,,,,,,,,,,,,,,,23.031978272183043,58.91587351029994
0.060967,1.937675,62,61,EE,EE0058,EE,58.0,EE58,EE,58.0,GLe1CMg5 [EE58],GLe,85.0,EE0072R0104,CMg,15.0,EE0078R1785,,,,,,,,,,,,,,,,,,,,,,,,,23.96681519762984,58.79610087230199
0.141427,3.451314,63,62,EE,EE0059,EE,59.0,EE59,EE,59.0,CMc3GLe4HSs4 [EE59],CMc,50.0,EE0059R1656,GLe,30.0,EE0103R1791,HSs,20.0,EE0059RR059,,,,,,,,,,,,,,,,,,,,,,26.009919768467157,58.674154794060414
0.014881,0.739657,64,63,EE,EE0060,EE,60.0,EE60,EE,60.0,HSs1 [EE60],HSs,100.0,EE0060RR060,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.484959382902357,58.80669074372867
0.000122,0.047705,65,64,EE,EE0043,EE,43.0,EE43,EE,43.0,RGc3GLe4HSs4 [EE43],RGc,45.0,EE0009R2048,GLe,35.0,EE0039R2033,HSs,20.0,EE0043RR043,,,,,,,,,,,,,,,,,,,,,,23.407571476988267,58.83743951771997
0.000293,0.075692,66,65,EE,EE0050,EE,50.0,EE50,EE,50.0,RGc3GLk4HSs4 [EE50],RGc,45.0,EE0102R1643,GLk,35.0,EE0061R1900,HSs,20.0,EE0050RR050,,,,,,,,,,,,,,,,,,,,,,23.131267723332957,58.832492471151994
0.000377,0.0864,67,66,EE,EE0043,EE,43.0,EE43,EE,43.0,RGc3GLe4HSs4 [EE43],RGc,45.0,EE0009R2048,GLe,35.0,EE0039R2033,HSs,20.0,EE0043RR043,,,,,,,,,,,,,,,,,,,,,,23.46424946044671,58.82314781156646
0.000192,0.064852,68,67,EE,EE0050,EE,50.0,EE50,EE,50.0,RGc3GLk4HSs4 [EE50],RGc,45.0,EE0102R1643,GLk,35.0,EE0061R1900,HSs,20.0,EE0050RR050,,,,,,,,,,,,,,,,,,,,,,23.074279845313796,58.81860265885224
0.003239,0.424874,69,68,EE,EE0061,EE,61.0,EE61,EE,61.0,RGc2GLk3 [EE61],RGc,60.0,EE0061R1901,GLk,40.0,EE0061R1900,,,,,,,,,,,,,,,,,,,,,,,,,22.8327929217159,58.796673388685065
0.05968,1.616954,70,69,EE,EE0062,EE,62.0,EE62,EE,62.0,LVk3CMc4HSs4 [EE62],LVk,40.0,EE0059R1811,CMc,35.0,EE0059R1656,HSs,25.0,EE0062RR062,,,,,,,,,,,,,,,,,,,,,,26.53456610572443,58.61292854252788
0.000263,0.079349,71,70,EE,EE0050,EE,50.0,EE50,EE,50.0,RGc3GLk4HSs4 [EE50],RGc,45.0,EE0102R1643,GLk,35.0,EE0061R1900,HSs,20.0,EE0050RR050,,,,,,,,,,,,,,,,,,,,,,23.00452629543303,58.80742838979092
0.034279,0.978176,72,71,EE,EE0064,EE,64.0,EE64,EE,64.0,PZc2GLe4PZh5 [EE64],PZc,65.0,EE0076R1783,GLe,20.0,EE0026R0102,PZh,15.0,EE0002R1881,,,,,,,,,,,,,,,,,,,,,,25.226419706574482,58.67846328356311
0.000134,0.047438,73,72,EE,EE0050,EE,50.0,EE50,EE,50.0,RGc3GLk4HSs4 [EE50],RGc,45.0,EE0102R1643,GLk,35.0,EE0061R1900,HSs,20.0,EE0050RR050,,,,,,,,,,,,,,,,,,,,,,23.052933403579363,58.77903940729458
0.000127,0.054129,74,73,EE,EE0050,EE,50.0,EE50,EE,50.0,RGc3GLk4HSs4 [EE50],RGc,45.0,EE0102R1643,GLk,35.0,EE0061R1900,HSs,20.0,EE0050RR050,,,,,,,,,,,,,,,,,,,,,,23.17980698870881,58.75504005025463
0.023725,1.185616,75,74,EE,EE0065,EE,65.0,EE65,EE,65.0,RGc3GLe4HSs4 [EE65],RGc,45.0,EE0102R1643,GLe,35.0,EE0073R1638,HSs,20.0,EE0065RR065,,,,,,,,,,,,,,,,,,,,,,23.593629081775465,58.648997837496694
0.06869,2.229525,76,75,EE,EE0066,EE,66.0,EE66,EE,66.0,HSf1 [EE66],HSf,100.0,EE0066RR066,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.185502868524736,58.59798068794205
0.027019,0.932544,77,76,EE,EE0068,EE,68.0,EE68,EE,68.0,GLe2CMg5HSs5 [EE68],GLe,70.0,EE0103R1791,CMg,15.0,EE0009R1616,HSs,15.0,EE0068RR068,,,,,,,,,,,,,,,,,,,,,,26.433668697209928,58.55485880687082
0.034293,0.90275,78,77,EE,EE0067,EE,67.0,EE67,EE,67.0,PZc3GLe5HSf4PZh5 [EE67],PZc,40.0,EE0104R1998,GLe,15.0,EE0076R1621,HSf,30.0,EE0067RR067,PZh,15.0,EE0052R1577,,,,,,,,,,,,,,,,,,,26.935917638881676,58.622511516972075
0.133567,2.724855,79,78,EE,EE0069,EE,69.0,EE69,EE,69.0,GLe2HSs4 [EE69],GLe,70.0,EE0076R1621,HSs,30.0,EE0069RR069,,,,,,,,,,,,,,,,,,,,,,,,,23.924704743455635,58.45115523530761
